id,storeId,name,slug,price,category,room,style,arUrl,glbUrl,usdzUrl,imageUrl,inStock,stockQty
"","","Mesa Comedor Rústico de Roble","mesa-comedor-rustico-de-roble-82","190827","Mesas","Comedor","Rústico","","","","https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=600&q=80","true","9"
"","","Mesa Ratona Premium de Hierro y Madera","mesa-ratona-premium-de-hierro-y-mad-974","58602","Mesas","Living","Premium","","","","https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?auto=format&fit=crop&w=600&q=80","true","3"
"","","Placard de 2 Puertas Vintage con Detalles de Vidrio","placard-de-2-puertas-vintage-con-detalles-de-352","312838","Placards","Dormitorio","Vintage","","","","https://images.unsplash.com/photo-1600585154526-990dced4db0d?auto=format&fit=crop&w=600&q=80","true","10"
"","","Silla Comedor Nórdico de Pino Macizo","silla-comedor-nordico-de-pino-macizo-33","42395","Sillas","Comedor","Nórdico","","","","https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?auto=format&fit=crop&w=600&q=80","true","8"
"","","Sofá de 3 Cuerpos Rústico de Roble","sofa-de-3-cuerpos-rustico-de-roble-504","378947","Sofás","Living","Rústico","","","","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=600&q=80","true","1"
"","","Biblioteca Biblioteca Minimalista de Roble","biblioteca-biblioteca-minimalista-de-roble-358","90804","Estanterías","Oficina","Minimalista","","","","https://images.unsplash.com/photo-1594620302200-9a762244a156?auto=format&fit=crop&w=600&q=80","true","9"
"","","Sofá de 3 Cuerpos Premium con Detalles de Vidrio","sofa-de-3-cuerpos-premium-con-detalles-de-360","340816","Sofás","Living","Premium","","","","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=600&q=80","true","13"
"","","Biblioteca Biblioteca Minimalista con Detalles de Vidrio","biblioteca-biblioteca-minimalista-con-detalles-de-659","111741","Estanterías","Oficina","Minimalista","","","","https://images.unsplash.com/photo-1594620302200-9a762244a156?auto=format&fit=crop&w=600&q=80","true","1"
"","","Cómoda de 4 Cajones Rústico de Pino Macizo","comoda-de-4-cajones-rustico-de-pino-macizo-788","113623","Cómodas","Dormitorio","Rústico","","","","https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=600&q=80","false","0"
"","","Cómoda de 4 Cajones Industrial de Melamina","comoda-de-4-cajones-industrial-de-melamina-897","134074","Cómodas","Dormitorio","Industrial","","","","https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=600&q=80","true","11"
"","","Biblioteca Biblioteca Moderno Laminado","biblioteca-biblioteca-moderno-laminado-243","114905","Estanterías","Oficina","Moderno","","","","https://images.unsplash.com/photo-1594620302200-9a762244a156?auto=format&fit=crop&w=600&q=80","true","14"
"","","Banqueta Alta Elegante de Pino Macizo","banqueta-alta-elegante-de-pino-macizo-977","33097","Bancos","Cocina","Elegante","","","","https://images.unsplash.com/photo-1581428982868-e410dd047a90?auto=format&fit=crop&w=600&q=80","true","14"
"","","Mesa Comedor Vintage Tapizado en Lino","mesa-comedor-vintage-tapizado-en-lin-331","194137","Mesas","Comedor","Vintage","","","","https://images.unsplash.com/photo-1577140917170-285929fb55b7?auto=format&fit=crop&w=600&q=80","true","7"
"","","Cómoda de 4 Cajones Nórdico Tapizado en Lino","comoda-de-4-cajones-nordico-tapizado-en-lin-465","159656","Cómodas","Dormitorio","Nórdico","","","","https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=600&q=80","true","3"
"","","Mesa Comedor Elegante de Madera de Paraíso","mesa-comedor-elegante-de-madera-de-pa-972","174720","Mesas","Comedor","Elegante","","","","https://images.unsplash.com/photo-1577140917170-285929fb55b7?auto=format&fit=crop&w=600&q=80","true","13"
"","","Mesa de Luz Clásico de Pino Macizo","mesa-de-luz-clasico-de-pino-macizo-623","53605","Mesas de Luz","Dormitorio","Clásico","","","","https://images.unsplash.com/photo-1532372320978-9b4d6a3a854c?auto=format&fit=crop&w=600&q=80","true","9"
"","","Silla Comedor Premium con Detalles de Vidrio","silla-comedor-premium-con-detalles-de-798","46137","Sillas","Comedor","Premium","","","","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?auto=format&fit=crop&w=600&q=80","false","0"
"","","Sofá de 3 Cuerpos Elegante de Pino Macizo","sofa-de-3-cuerpos-elegante-de-pino-macizo-535","368408","Sofás","Living","Elegante","","","","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=600&q=80","true","8"
"","","Cama Queen Size Vintage Laminado","cama-queen-size-vintage-laminado-475","198799","Camas","Dormitorio","Vintage","","","","https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=600&q=80","true","2"
"","","Sofá de 3 Cuerpos Industrial de Melamina","sofa-de-3-cuerpos-industrial-de-melamina-296","383659","Sofás","Living","Industrial","","","","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?auto=format&fit=crop&w=600&q=80","true","11"
"","","Placard de 2 Puertas Eco Tapizado en Lino","placard-de-2-puertas-eco-tapizado-en-lin-33","228841","Placards","Dormitorio","Eco","","","","https://images.unsplash.com/photo-1600585154526-990dced4db0d?auto=format&fit=crop&w=600&q=80","true","5"
"","","Silla Comedor Clásico Tapizado en Lino","silla-comedor-clasico-tapizado-en-lin-600","46368","Sillas","Comedor","Clásico","","","","https://images.unsplash.com/photo-1506439773649-6e0eb8cfb237?auto=format&fit=crop&w=600&q=80","true","8"
"","","Cama Queen Size Rústico de Melamina","cama-queen-size-rustico-de-melamina-807","220914","Camas","Dormitorio","Rústico","","","","https://images.unsplash.com/photo-1540518614846-7eded433c457?auto=format&fit=crop&w=600&q=80","false","0"
"","","Sofá de 3 Cuerpos Clásico de Melamina","sofa-de-3-cuerpos-clasico-de-melamina-524","367753","Sofás","Living","Clásico","","","","https://images.unsplash.com/photo-1586023492125-27b2c045efd7?auto=format&fit=crop&w=600&q=80","true","14"
"","","Placard de 2 Puertas Nórdico de Pino Macizo","placard-de-2-puertas-nordico-de-pino-macizo-242","253881","Placards","Dormitorio","Nórdico","","","","https://images.unsplash.com/photo-1558882224-cca166733365?auto=format&fit=crop&w=600&q=80","true","2"
"","","Mesa Comedor Rústico de Roble","mesa-comedor-rustico-de-roble-101","200541","Mesas","Comedor","Rústico","","","","https://images.unsplash.com/photo-1533090161767-e6ffed986c88?auto=format&fit=crop&w=600&q=80","true","15"
"","","Escritorio de Trabajo Nórdico Tapizado en Lino","escritorio-de-trabajo-nordico-tapizado-en-lin-740","97386","Escritorios","Oficina","Nórdico","","","","https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd?auto=format&fit=crop&w=600&q=80","true","6"
"","","Sillón Individual Rústico Tapizado en Lino","sillon-individual-rustico-tapizado-en-lin-999","103460","Sofás","Living","Rústico","","","","https://images.unsplash.com/photo-1598300042247-d088f8ab3a91?auto=format&fit=crop&w=600&q=80","true","15"
"","","Cómoda de 4 Cajones Minimalista Tapizado en Lino","comoda-de-4-cajones-minimalista-tapizado-en-lin-460","114002","Cómodas","Dormitorio","Minimalista","","","","https://images.unsplash.com/photo-1595428774223-ef52624120d2?auto=format&fit=crop&w=600&q=80","false","0"
"","","Mesa Ratona Industrial de Madera de Paraíso","mesa-ratona-industrial-de-madera-de-pa-176","60746","Mesas","Living","Industrial","","","","https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?auto=format&fit=crop&w=600&q=80","false","0"
